time(ms),count,cpm,uSv/h,uSv/hError
11443184,0,2.050,0.039,0.006
11448470,0,2.100,0.040,0.006
11452940,0,2.150,0.041,0.006
11464968,0,2.150,0.041,0.006
11480667,0,2.200,0.041,0.006
11519591,0,2.200,0.041,0.006
11520308,0,2.250,0.042,0.006
11554654,0,2.150,0.041,0.006
11567735,0,2.200,0.041,0.006
11573348,0,2.250,0.042,0.006
11580130,0,2.300,0.043,0.006
11676986,0,2.150,0.041,0.006
11681123,0,2.200,0.041,0.006
11687835,0,2.200,0.041,0.006
11712198,0,2.200,0.041,0.006
11769187,0,2.150,0.041,0.006
11772566,0,2.200,0.041,0.006
11839255,0,2.200,0.041,0.006
11843742,0,2.250,0.042,0.006
11878137,0,2.250,0.042,0.006
11896351,0,2.250,0.042,0.006
11967557,0,2.200,0.041,0.006
11990511,0,2.200,0.041,0.006
11992755,0,2.250,0.042,0.006
12056191,0,2.200,0.041,0.006
12091031,0,2.250,0.042,0.006
12109920,0,2.300,0.043,0.006
12118552,0,2.350,0.044,0.006
12123345,0,2.400,0.045,0.007
12164037,0,2.350,0.044,0.006
12173422,0,2.350,0.044,0.006
12182693,0,2.400,0.045,0.007
12193066,0,2.400,0.045,0.007
12193793,0,2.450,0.046,0.007
12197532,0,2.500,0.047,0.007
12199030,0,2.550,0.048,0.007
12211587,0,2.600,0.049,0.007
12247172,0,2.550,0.048,0.007
12279336,0,2.500,0.047,0.007
12280427,0,2.550,0.048,0.007
12300531,0,2.550,0.048,0.007
12309371,0,2.600,0.049,0.007
12358594,0,2.650,0.050,0.007
12375248,0,2.650,0.050,0.007
12394209,0,2.650,0.050,0.007
12470092,0,2.550,0.048,0.007
12484950,0,2.600,0.049,0.007
12491990,0,2.650,0.050,0.007
12503515,0,2.700,0.051,0.007
12516063,0,2.750,0.052,0.007
12527999,0,2.700,0.051,0.007
12536900,0,2.750,0.052,0.007
12578666,0,2.800,0.053,0.007
12609169,0,2.750,0.052,0.007
12666584,0,2.550,0.048,0.007
12666932,0,2.600,0.049,0.007
12716814,0,2.500,0.047,0.007
12811487,0,2.350,0.044,0.006
12815591,0,2.350,0.044,0.006
12827131,0,2.400,0.045,0.007
12830090,0,2.450,0.046,0.007
12847265,0,2.500,0.047,0.007
12928210,0,2.350,0.044,0.006
12968778,0,2.350,0.044,0.006
12969874,0,2.350,0.044,0.006
12998742,0,2.350,0.044,0.006
13008461,0,2.400,0.045,0.007
13024181,0,2.450,0.046,0.007
13053432,0,2.400,0.045,0.007
13107706,0,2.350,0.044,0.006
13112543,0,2.400,0.045,0.007
13127044,0,2.450,0.046,0.007
13164319,0,2.500,0.047,0.007
13193908,0,2.400,0.045,0.007
13220053,0,2.450,0.046,0.007
13222290,0,2.500,0.047,0.007
13226764,0,2.550,0.048,0.007
13232372,0,2.600,0.049,0.007
13284884,0,2.600,0.049,0.007
13292318,0,2.600,0.049,0.007
13293808,0,2.650,0.050,0.007
13358831,0,2.550,0.048,0.007
13373289,0,2.500,0.047,0.007
13396361,0,2.350,0.044,0.006
13430360,0,2.300,0.043,0.006
13451169,0,2.300,0.043,0.006
13460797,0,2.350,0.044,0.006
13474549,0,2.400,0.045,0.007
13523067,0,2.250,0.042,0.006
13524915,0,2.300,0.043,0.006
13571982,0,2.300,0.043,0.006
13632643,0,2.250,0.042,0.006
13672265,0,2.250,0.042,0.006
13698128,0,2.200,0.041,0.006
13712300,0,2.150,0.041,0.006
13773086,0,2.100,0.040,0.006
13812239,0,2.050,0.039,0.006
13822640,0,2.100,0.040,0.006
13838526,0,2.150,0.041,0.006
13889893,0,2.100,0.040,0.006
